date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:12	2203/2203	---MCZ	400	error ('Bad%20Request')	text/html	date:Fri,%2027%20Feb%202026%2015:57:10%20GMT	https://www.annekeslershields.com/decodeURIComponent(e	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/decodeURIComponent(e.22.delayed	(from https://www.annekeslershields.com/)
10:57:13	9582/9582	---M-Z	200	added ('OK')	application/javascript	etag:W/%22df644f83788d1f4c908f19099724035e%22	https://static.parastorage.com/services/tag-manager-client/1.1028.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/tag-manager-client/1.1028.0/siteTags.bundle.min.js	(from https://www.annekeslershields.com/)
10:57:13	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2015:57:12%20GMT	https://www.annekeslershields.com/e	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/e.24.delayed	(from https://www.annekeslershields.com/home-1)
10:57:14	3196/3196	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:12%20GMT	https://static.wixstatic.com/media/7eba9c_567706cf36d2426bac8662a363e28183~mv2.jpg/v1/fill/w_124,h_84,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7eba9c_567706cf36d2426bac8662a363e28183~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_567706cf36d2426bac8662a363e28183_mv2.jpg/v1/fill/w_124,h_84,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/7eba9c_567706cf36d2426bac8662a363e28183_mv2.jpg	(from https://www.annekeslershields.com/home-1)
10:57:14	142927/142927	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c92767fdb1fe0602453adff65cd4f46%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.c401a198.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.c401a198.bundle.min.js	(from https://www.annekeslershields.com/home-1)
10:57:15	223258/223258	---M-Z	200	added ('OK')	application/javascript	etag:W/%2238a9c741143017db591c1ab9daa928ca%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.21f84ef8.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/wix-thunderbolt/dist/main.21f84ef8.bundle.min.js	(from https://www.annekeslershields.com/home-1)
10:57:15	154/154	---MCZ	200	added ('OK')	application/javascript	etag:W/%22530e638aadaca11cc55439f7bbf92094%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.f600e767.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.f600e767.bundle.min.js	(from https://www.annekeslershields.com/home-1)
10:57:17	186457/186457	---M-Z	200	added ('OK')	application/javascript	etag:W/%22874c690deac87f021e74a49d2c87d463%22	https://static.parastorage.com/services/ecom-platform-cart-icon/1.2224.0/CartIconViewerWidgetNoCss.bundle.min.js	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.parastorage.com/services/ecom-platform-cart-icon/1.2224.0/CartIconViewerWidgetNoCss.bundle.min.js	(from https://www.annekeslershields.com/home-1)
10:57:17	3773/3773	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:16%20GMT	https://static.wixstatic.com/media/7eba9c_f537239f88f84541903459c69dafda31~mv2.jpg/v1/fill/w_141,h_96,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/7eba9c_f537239f88f84541903459c69dafda31~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_f537239f88f84541903459c69dafda31_mv2.jpg/v1/fill/w_141,h_96,al_c,q_80,usm_0.66_1.00_0.01,blur_2,/7eba9c_f537239f88f84541903459c69dafda31_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:20	1084715/1084715	---MCZ	200	added ('OK')	text/html	etag:W/%227352198b0c5b7b3e27944728f42d11b0%22	https://www.annekeslershields.com/shop	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/shop.html	(from https://www.annekeslershields.com/browse-all)
10:57:20	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Feb%202026%2015:57:17%20GMT	https://www.annekeslershields.com/media/emptystate.85a4add5.svg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/www.annekeslershields.com/media/emptystate.85a4add5.2c.delayed	(from https://www.annekeslershields.com/browse-all)
10:57:20	37748/37748	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:19%20GMT	https://static.wixstatic.com/media/7eba9c_ab7deee3f2f044ce8d073370cf90dd29~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_ab7deee3f2f044ce8d073370cf90dd29~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_ab7deee3f2f044ce8d073370cf90dd29_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_ab7deee3f2f044ce8d073370cf90dd29_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:21	36446/36446	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:19%20GMT	https://static.wixstatic.com/media/7eba9c_a47b62cea3b14b0ba5f24b8adbf7b3b6~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_a47b62cea3b14b0ba5f24b8adbf7b3b6~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_a47b62cea3b14b0ba5f24b8adbf7b3b6_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_a47b62cea3b14b0ba5f24b8adbf7b3b6_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:21	42940/42940	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:20%20GMT	https://static.wixstatic.com/media/7eba9c_c55cd2ad69aa4777bdc3cddf1b836c67~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_c55cd2ad69aa4777bdc3cddf1b836c67~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_c55cd2ad69aa4777bdc3cddf1b836c67_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_c55cd2ad69aa4777bdc3cddf1b836c67_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:22	25797/25797	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:20%20GMT	https://static.wixstatic.com/media/7eba9c_e4bc1be4db304359a1d4f1a826fb3dd3~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_e4bc1be4db304359a1d4f1a826fb3dd3~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_e4bc1be4db304359a1d4f1a826fb3dd3_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_e4bc1be4db304359a1d4f1a826fb3dd3_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:22	24665/24665	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:20%20GMT	https://static.wixstatic.com/media/7eba9c_f6645e6211974e3881a9cbbfee9045aa~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_f6645e6211974e3881a9cbbfee9045aa~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_f6645e6211974e3881a9cbbfee9045aa_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_f6645e6211974e3881a9cbbfee9045aa_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:22	16219/16219	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:21%20GMT	https://static.wixstatic.com/media/7eba9c_616e4943561a4a7a8994f869776ce191~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_616e4943561a4a7a8994f869776ce191~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_616e4943561a4a7a8994f869776ce191_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_616e4943561a4a7a8994f869776ce191_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:23	32390/32390	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:21%20GMT	https://static.wixstatic.com/media/7eba9c_feff93826f3042bd96d38c99c81a96bd~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_feff93826f3042bd96d38c99c81a96bd~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_feff93826f3042bd96d38c99c81a96bd_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_feff93826f3042bd96d38c99c81a96bd_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:23	43210/43210	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:21%20GMT	https://static.wixstatic.com/media/7eba9c_d4b23572f6e64bbba17dfa1e0c8cb3a7~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_d4b23572f6e64bbba17dfa1e0c8cb3a7~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_d4b23572f6e64bbba17dfa1e0c8cb3a7_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_d4b23572f6e64bbba17dfa1e0c8cb3a7_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:24	30599/30599	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:22%20GMT	https://static.wixstatic.com/media/7eba9c_2eeb2a7d4c6b4fa18036f39317eba723~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_2eeb2a7d4c6b4fa18036f39317eba723~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_2eeb2a7d4c6b4fa18036f39317eba723_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_2eeb2a7d4c6b4fa18036f39317eba723_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:24	52188/52188	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:22%20GMT	https://static.wixstatic.com/media/7eba9c_72c010882e9443148964a5f520f23895~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_72c010882e9443148964a5f520f23895~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_72c010882e9443148964a5f520f23895_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_72c010882e9443148964a5f520f23895_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:24	55307/55307	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:22%20GMT	https://static.wixstatic.com/media/7eba9c_6b02f4f2177b45c09eb94389badadd05~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_6b02f4f2177b45c09eb94389badadd05~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_6b02f4f2177b45c09eb94389badadd05_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_6b02f4f2177b45c09eb94389badadd05_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:24	32421/32421	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:23%20GMT	https://static.wixstatic.com/media/7eba9c_aee5092558164c1a9c64972a97ddef9e~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_aee5092558164c1a9c64972a97ddef9e~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_aee5092558164c1a9c64972a97ddef9e_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_aee5092558164c1a9c64972a97ddef9e_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:24	33703/33703	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:23%20GMT	https://static.wixstatic.com/media/7eba9c_a6e4162d47a244fc96b25cf9eca04865~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_a6e4162d47a244fc96b25cf9eca04865~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_a6e4162d47a244fc96b25cf9eca04865_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_a6e4162d47a244fc96b25cf9eca04865_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
10:57:25	56972/56972	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Feb%202026%2015:57:23%20GMT	https://static.wixstatic.com/media/7eba9c_dfb863132caa4bf3a3aed6266c296fbe~mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_dfb863132caa4bf3a3aed6266c296fbe~mv2.jpg	C:/My%20Web%20Sites/AnneKessler/AnneKesler%20Website/static.wixstatic.com/media/7eba9c_dfb863132caa4bf3a3aed6266c296fbe_mv2.jpg/v1/fit/w_480,h_480,q_90,enc_avif,quality_auto/7eba9c_dfb863132caa4bf3a3aed6266c296fbe_mv2.jpg	(from https://www.annekeslershields.com/browse-all)
